message
Yooo
Yeppp
💅🏻💅🏻
Do we have to?
Too early
Yep
Gaand marao
What u wanna open the store ans sweep the floors
Ok bring the sheets to d mart
Dmart also u only planned
No physically u wanna go
Mentally u r already there
Gaand me daalo
Lil lying down
Its too garam out
Im doen
Ready aaa?
Phallus belt u have?
Fucked
Goodnight bishes im gonna hav  the best sleep
Coming down
Where r u
🥹🥹🥹
Guyj
I might not be there this sat
Ill be going moms place
And sunday afternoon ill be back
Guyj when our b4 exam drinkin sesh
?🙂‍↔😞
Jenneths like me
Ill go with him if yall dont come😞
Mf😞
My dads chugging beer here guys
I cannot😞
No🥹
Ik ur happy atreyee😞✋🏻
Oh u miss those night i gave you😏😏
Dw soon ull get that pleasure again bbg
By 6 59 be ready yall
7 see yall front of 22
Ew tf
😂😂😂
"MAHE Manipal inter Collegiate sports and games 2023-24 prize distribution ceremony will be held on 22 May 2024 counseling hall, edu manipal, kindly join and convey the message to others also."
Do u think i shud attend? Is it for us
Inter collegate means inter mahe?
One pain
Oki
Helpful👯🏻‍♂
Stgg i cud become a waiter there
Nah vodka
Damnn
Wonder who got that pleasure
🙂‍↕
Guys
Which restaurant was that
Where drinks wer cheaper @⁨Atreyee⁩
Wokay
"Get ready for an awesome weekend with ZUFI at Big Shot! They'll be playing live, and you can snag free shots until 9:00 PM. It’s gonna be a blast, so bring your friends and have a great time. See you there !✨"
Free shots until 9 😭
Time for this grp to be alive again✨
New name👄
Romanov is boring😔
Think of somethin else
Bacchus?
Kudka
Geng
Mwahaahaha🤭🎀
🤭😂😂
Kudkas
We going today
Dont want ur opinions🫸🏻
Its an order..how much u wanna drink is upto u
Ok ur scary
when did paint ur phace red
Avi?
Ohh
Geng
Nice time
Gand
😔haters will say its fek
Cos it aint🙂😮‍💨
What gandugiri these hockey ppl playing
Match
Too much gay indian team
Even tho we at lead
U drink onki😔😔
Cuntgiri
2 2
They hit
Ok😔👍
Pen strokeee
Wonnn
Mad match
Already drunk aa?
Fak
Aatreyi behaviour
Randi
🙏🏻🙂
😔🖕🏻
I wanted to club
Cunts how r these
You deleted this message.
I sent two
One png
Png is darker
Lemme know which one
Yea
Ill try the non black n white thing also
I wanna drink
Im craving😔
Is it wrong mommy
"U dont need to be happy to drink, you dont need to drink to be happy"
Yes😔🙏🏻
Waittt
What happenedd
Did u catch train?
Fuking
Wah
Whats up with the warden thing
What the
Why did she come
No like a smoll doubt
How does she know gay had trsin to catch
😂😂😭
Such a gand
Breakfast fast fast?0
Waow
